------------------------------------------------------------------------------
                      SDDP.jl (c) Oscar Dowson, 2017-21

Problem
  Nodes           : 60
  State variables : 4
  Scenarios       : 8.22275e+112
  Existing cuts   : true
  Subproblem structure                      : (min, max)
    Variables                               : (158, 158)
    VariableRef in MOI.EqualTo{Float64}     : (8, 8)
    VariableRef in MOI.LessThan{Float64}    : (145, 146)
    AffExpr in MOI.GreaterThan{Float64}     : (8, 265)
    AffExpr in MOI.EqualTo{Float64}         : (9, 11)
    VariableRef in MOI.GreaterThan{Float64} : (150, 150)
Options
  Solver          : serial mode
  Risk measure    : SDDP.Expectation()
  Sampling scheme : SDDP.InSampleMonteCarlo

 Iteration    Simulation       Bound         Time (s)    Proc. ID   # Solves
        1    6.420651e+04   6.026215e+04   1.690854e+00          1    1293342
        2    7.082379e+04   6.026509e+04   3.410166e+00          1    1298241
        3    4.579490e+04   6.030478e+04   5.138823e+00          1    1303140
        4    6.139895e+04   6.030665e+04   6.882285e+00          1    1308039
        5    6.048499e+04   6.036521e+04   8.618631e+00          1    1312938
        6    6.400636e+04   6.036940e+04   1.035899e+01          1    1317837
        7    6.795151e+04   6.037513e+04   1.210227e+01          1    1322736
        8    6.994861e+04   6.037580e+04   1.385216e+01          1    1327635
        9    4.937194e+04   6.037724e+04   1.557655e+01          1    1332534
       10    7.391068e+04   6.037741e+04   1.730670e+01          1    1337433
       11    6.760542e+04   6.037777e+04   1.903342e+01          1    1342332
       12    7.141775e+04   6.050891e+04   2.076772e+01          1    1347231
       13    5.947977e+04   6.050894e+04   2.249905e+01          1    1352130
       14    7.269220e+04   6.050899e+04   2.422658e+01          1    1357029
       15    6.156025e+04   6.050907e+04   2.594745e+01          1    1361928
       16    7.181094e+04   6.059975e+04   2.768083e+01          1    1366827
       17    6.608888e+04   6.059983e+04   2.940909e+01          1    1371726
       18    6.101174e+04   6.059995e+04   3.115278e+01          1    1376625
       19    7.246958e+04   6.060036e+04   3.290667e+01          1    1381524
       20    7.026693e+04   6.062366e+04   3.465886e+01          1    1386423
       21    7.052226e+04   6.062412e+04   3.638881e+01          1    1391322
       22    6.048587e+04   6.065355e+04   3.814089e+01          1    1396221
       23    5.744166e+04   6.065756e+04   3.986183e+01          1    1401120
       24    6.393529e+04   6.066696e+04   4.160393e+01          1    1406019
       25    5.947053e+04   6.066714e+04   4.340961e+01          1    1410918
       26    6.243282e+04   6.066763e+04   4.515426e+01          1    1415817
       27    6.772278e+04   6.067779e+04   4.688954e+01          1    1420716
       28    6.273735e+04   6.067790e+04   4.865144e+01          1    1425615
       29    5.718383e+04   6.067830e+04   5.039989e+01          1    1430514
       30    6.119684e+04   6.071443e+04   5.213731e+01          1    1435413
