------------------------------------------------------------------------------
                      SDDP.jl (c) Oscar Dowson, 2017-21

Problem
  Nodes           : 60
  State variables : 4
  Scenarios       : 8.22275e+112
  Existing cuts   : false
  Subproblem structure                      : (min, max)
    Variables                               : (157, 157)
    VariableRef in MOI.LessThan{Float64}    : (144, 145)
    VariableRef in MOI.GreaterThan{Float64} : (149, 149)
    AffExpr in MOI.EqualTo{Float64}         : (9, 9)
Options
  Solver          : serial mode
  Risk measure    : SDDP.Expectation()
  Sampling scheme : SDDP.InSampleMonteCarlo

Numerical stability report
  Non-zero Matrix range     [1e+00, 1e+00]
  Non-zero Objective range  [1e-05, 1e+00]
  Non-zero Bounds range     [7e-01, 2e+05]
  Non-zero RHS range        [7e+03, 5e+04]
WARNING: numerical stability issues detected
  - Objective range contains small coefficients
Very large or small absolute values of coefficients
can cause numerical stability issues. Consider
reformulating the model.

 Iteration    Simulation       Bound         Time (s)    Proc. ID   # Solves
        1    7.617601e+04   3.424952e+03   1.440532e+00          1       4899
        2    5.994866e+04   3.519188e+04   2.851047e+00          1       9798
        3    6.841668e+04   3.578618e+04   4.242352e+00          1      14697
        4    5.987321e+04   3.586482e+04   5.651077e+00          1      19596
        5    5.446704e+04   3.890881e+04   7.066282e+00          1      24495
        6    6.007198e+04   4.073721e+04   8.486570e+00          1      29394
        7    5.161563e+04   4.073847e+04   9.917481e+00          1      34293
        8    5.204321e+04   4.320653e+04   1.134373e+01          1      39192
        9    4.801472e+04   4.320772e+04   1.277496e+01          1      44091
       10    4.842636e+04   4.352845e+04   1.420241e+01          1      48990
       11    5.133667e+04   4.413640e+04   1.562598e+01          1      53889
       12    5.852106e+04   4.427496e+04   1.711218e+01          1      58788
       13    5.168669e+04   4.428569e+04   1.856254e+01          1      63687
       14    5.866580e+04   4.484446e+04   2.000611e+01          1      68586
       15    5.203981e+04   4.509300e+04   2.145536e+01          1      73485
       16    4.324458e+04   4.512348e+04   2.286732e+01          1      78384
       17    4.682947e+04   4.516658e+04   2.431766e+01          1      83283
       18    5.023207e+04   4.543906e+04   2.576220e+01          1      88182
       19    4.606378e+04   4.550696e+04   2.721084e+01          1      93081
       20    5.659773e+04   4.571521e+04   2.865413e+01          1      97980
       21    4.839426e+04   4.580093e+04   3.009713e+01          1     102879
       22    5.055466e+04   4.624651e+04   3.153976e+01          1     107778
       23    5.417918e+04   4.658941e+04   3.302202e+01          1     112677
       24    5.046170e+04   4.670516e+04   3.447242e+01          1     117576
       25    5.482684e+04   4.698234e+04   3.592102e+01          1     122475
       26    4.233579e+04   4.718018e+04   3.737932e+01          1     127374
       27    4.835011e+04   4.719324e+04   3.883072e+01          1     132273
       28    5.840295e+04   4.724939e+04   4.026032e+01          1     137172
       29    5.535850e+04   4.730366e+04   4.172952e+01          1     142071
       30    4.803647e+04   4.783553e+04   4.317462e+01          1     146970
       31    5.099587e+04   4.783553e+04   4.464838e+01          1     151869
       32    4.974369e+04   4.786689e+04   4.611504e+01          1     156768
       33    4.918530e+04   4.805111e+04   4.760746e+01          1     161667
       34    5.533941e+04   4.808104e+04   4.908459e+01          1     166566
       35    5.108645e+04   4.811409e+04   5.055670e+01          1     171465
       36    5.972484e+04   4.821394e+04   5.204643e+01          1     176364
       37    4.658119e+04   4.847760e+04   5.353282e+01          1     181263
       38    4.906183e+04   4.848296e+04   5.501580e+01          1     186162
       39    5.391299e+04   4.858741e+04   5.647520e+01          1     191061
       40    5.947565e+04   4.864800e+04   5.797836e+01          1     195960
       41    5.077869e+04   4.864941e+04   5.945135e+01          1     200859
       42    5.436826e+04   4.866063e+04   6.095465e+01          1     205758
       43    5.174090e+04   4.871676e+04   6.244988e+01          1     210657
       44    5.660808e+04   4.871962e+04   6.393480e+01          1     215556
       45    5.351696e+04   4.873658e+04   6.543211e+01          1     220455
       46    4.826982e+04   4.873667e+04   6.692397e+01          1     225354
       47    5.223237e+04   4.875272e+04   6.842040e+01          1     230253
       48    5.479627e+04   4.875383e+04   6.990824e+01          1     235152
       49    4.861065e+04   4.875677e+04   7.137563e+01          1     240051
       50    5.513011e+04   4.875681e+04   7.287643e+01          1     244950
       51    4.555974e+04   4.875684e+04   7.438134e+01          1     249849
       52    6.263300e+04   4.876237e+04   7.588256e+01          1     254748
       53    5.073917e+04   4.876817e+04   7.738689e+01          1     259647
       54    5.574033e+04   4.877989e+04   7.888813e+01          1     264546
       55    5.616880e+04   4.899218e+04   8.038363e+01          1     269445
