------------------------------------------------------------------------------
                      SDDP.jl (c) Oscar Dowson, 2017-21

Problem
  Nodes           : 60
  State variables : 4
  Scenarios       : 8.22275e+112
  Existing cuts   : true
  Subproblem structure                      : (min, max)
    Variables                               : (158, 158)
    VariableRef in MOI.EqualTo{Float64}     : (8, 8)
    VariableRef in MOI.LessThan{Float64}    : (145, 146)
    AffExpr in MOI.GreaterThan{Float64}     : (4, 4)
    AffExpr in MOI.EqualTo{Float64}         : (9, 11)
    VariableRef in MOI.GreaterThan{Float64} : (150, 150)
Options
  Solver          : serial mode
  Risk measure    : SDDP.Expectation()
  Sampling scheme : SDDP.InSampleMonteCarlo

 Iteration    Simulation       Bound         Time (s)    Proc. ID   # Solves
        1    9.092228e+04   1.239012e+04   1.483328e+00          1      14699
        2    7.549677e+04   4.498916e+04   3.293637e+00          1      19598
        3    8.778928e+04   4.503657e+04   4.788468e+00          1      24497
        4    6.660816e+04   5.493362e+04   6.289340e+00          1      29396
        5    7.932225e+04   5.508668e+04   7.825519e+00          1      34295
        6    9.411807e+04   5.513272e+04   9.340868e+00          1      39194
        7    7.644963e+04   6.108707e+04   1.085674e+01          1      44093
        8    7.661051e+04   6.114845e+04   1.238096e+01          1      48992
        9    7.521610e+04   6.493674e+04   1.389851e+01          1      53891
       10    6.318829e+04   6.498466e+04   1.541714e+01          1      58790
       11    7.904361e+04   6.502041e+04   1.695784e+01          1      63689
       12    6.162037e+04   6.523960e+04   1.848117e+01          1      68588
       13    7.192014e+04   6.574019e+04   1.998463e+01          1      73487
       14    7.629450e+04   6.586910e+04   2.153992e+01          1      78386
       15    7.907144e+04   6.599316e+04   2.306748e+01          1      83285
       16    6.591784e+04   6.617714e+04   2.458464e+01          1      88184
       17    7.276439e+04   6.805447e+04   2.611654e+01          1      93083
       18    7.316954e+04   6.814225e+04   2.767361e+01          1      97982
       19    6.142499e+04   6.859784e+04   2.920652e+01          1     102881
       20    8.597037e+04   6.862124e+04   3.075124e+01          1     107780
       21    6.626274e+04   6.874310e+04   3.230324e+01          1     112679
       22    6.490085e+04   6.874656e+04   3.384751e+01          1     117578
       23    7.617131e+04   6.976222e+04   3.538559e+01          1     122477
       24    6.651366e+04   6.976358e+04   3.695416e+01          1     127376
       25    6.929005e+04   7.011674e+04   3.849347e+01          1     132275
       26    8.090531e+04   7.020762e+04   4.002878e+01          1     137174
       27    8.665131e+04   7.033243e+04   4.160737e+01          1     142073
       28    6.616569e+04   7.033936e+04   4.314790e+01          1     146972
       29    7.365070e+04   7.038129e+04   4.469446e+01          1     151871
       30    7.845464e+04   7.040539e+04   4.626678e+01          1     156770
       31    8.339429e+04   7.044787e+04   4.783868e+01          1     161669
       32    7.395183e+04   7.050894e+04   4.937468e+01          1     166568
       33    5.869703e+04   7.051219e+04   5.091535e+01          1     171467
       34    6.534674e+04   7.052278e+04   5.247837e+01          1     176366
       35    6.438531e+04   7.052399e+04   5.401973e+01          1     181265
       36    6.480528e+04   7.053514e+04   5.558386e+01          1     186164
       37    8.447691e+04   7.053518e+04   5.713569e+01          1     191063
       38    8.094087e+04   7.053525e+04   5.871755e+01          1     195962
       39    6.486321e+04   7.053525e+04   6.027393e+01          1     200861
       40    6.143145e+04   7.063620e+04   6.181119e+01          1     205760
       41    7.275184e+04   7.063719e+04   6.339189e+01          1     210659
       42    7.355971e+04   7.069154e+04   6.492692e+01          1     215558
       43    6.903798e+04   7.069169e+04   6.647756e+01          1     220457
       44    7.113067e+04   7.069192e+04   6.802985e+01          1     225356
       45    8.036316e+04   7.069287e+04   6.961704e+01          1     230255
       46    7.203814e+04   7.071727e+04   7.117699e+01          1     235154
       47    8.217242e+04   7.079355e+04   7.273689e+01          1     240053
       48    6.435460e+04   7.087775e+04   7.433438e+01          1     244952
       49    7.128776e+04   7.094755e+04   7.589881e+01          1     249851
       50    7.142521e+04   7.097188e+04   7.745045e+01          1     254750
       51    6.218138e+04   7.097612e+04   7.901787e+01          1     259649
       52    6.774549e+04   7.100148e+04   8.061996e+01          1     264548
       53    8.378559e+04   7.103139e+04   8.219225e+01          1     269447
       54    7.980902e+04   7.105166e+04   8.376313e+01          1     274346
       55    5.831040e+04   7.109248e+04   8.534026e+01          1     279245
       56    6.868836e+04   7.122333e+04   8.693390e+01          1     284144
       57    7.163674e+04   7.122602e+04   8.849518e+01          1     289043
       58    6.402625e+04   7.123492e+04   9.006610e+01          1     293942
       59    8.104050e+04   7.123536e+04   9.166844e+01          1     298841
       60    6.385822e+04   7.123913e+04   9.324265e+01          1     303740
       61    8.314590e+04   7.124058e+04   9.482238e+01          1     308639
       62    6.332301e+04   7.125210e+04   9.638999e+01          1     313538
       63    6.994216e+04   7.125223e+04   9.799563e+01          1     318437
       64    9.041162e+04   7.125798e+04   9.957765e+01          1     323336
       65    6.943555e+04   7.126594e+04   1.011565e+02          1     328235
       66    7.640331e+04   7.130439e+04   1.027226e+02          1     333134
       67    7.319472e+04   7.130626e+04   1.043437e+02          1     338033
       68    7.599957e+04   7.132967e+04   1.059512e+02          1     342932
       69    6.505080e+04   7.132981e+04   1.075296e+02          1     347831
       70    7.448923e+04   7.134402e+04   1.091060e+02          1     352730
       71    8.442925e+04   7.134407e+04   1.107171e+02          1     357629
       72    8.073118e+04   7.136583e+04   1.122915e+02          1     362528
       73    7.227788e+04   7.136612e+04   1.138703e+02          1     367427
       74    7.595741e+04   7.139818e+04   1.154438e+02          1     372326

Terminating training
  Status         : bound_limit
  Total time (s) : 1.154438e+02
  Total solves   : 372326
  Best bound     :  7.139818e+04
  Simulation CI  :  7.335369e+04 ± 1.883188e+03
------------------------------------------------------------------------------
