------------------------------------------------------------------------------
                      SDDP.jl (c) Oscar Dowson, 2017-21

Problem
  Nodes           : 60
  State variables : 4
  Scenarios       : 8.22275e+112
  Existing cuts   : false
  Subproblem structure                      : (min, max)
    Variables                               : (157, 157)
    VariableRef in MOI.LessThan{Float64}    : (144, 145)
    VariableRef in MOI.GreaterThan{Float64} : (149, 149)
    AffExpr in MOI.EqualTo{Float64}         : (9, 9)
Options
  Solver          : serial mode
  Risk measure    : SDDP.Expectation()
  Sampling scheme : SDDP.InSampleMonteCarlo

Numerical stability report
  Non-zero Matrix range     [1e+00, 1e+00]
  Non-zero Objective range  [4e-06, 1e+00]
  Non-zero Bounds range     [7e-01, 2e+05]
  Non-zero RHS range        [7e+03, 5e+04]
WARNING: numerical stability issues detected
  - Objective range contains small coefficients
Very large or small absolute values of coefficients
can cause numerical stability issues. Consider
reformulating the model.

 Iteration    Simulation       Bound         Time (s)    Proc. ID   # Solves
       86    5.750377e+04   5.582919e+04   1.298382e+02          1     421314
       87    6.407900e+04   5.583313e+04   1.314400e+02          1     426213
       88    8.747792e+04   5.583558e+04   1.330234e+02          1     431112
       89    6.627421e+04   5.583789e+04   1.345846e+02          1     436011
       90    6.056834e+04   5.583964e+04   1.360904e+02          1     440910
       91    6.987498e+04   5.584183e+04   1.376439e+02          1     445809
       92    5.532228e+04   5.585014e+04   1.391892e+02          1     450708
       93    5.714834e+04   5.586687e+04   1.407516e+02          1     455607
       94    5.929438e+04   5.588361e+04   1.422716e+02          1     460506
       95    5.609900e+04   5.589355e+04   1.438278e+02          1     465405
       96    8.885442e+04   5.589985e+04   1.453964e+02          1     470304
       97    7.657748e+04   5.590727e+04   1.469734e+02          1     475203
       98    5.041210e+04   5.592035e+04   1.485021e+02          1     480102
       99    5.599262e+04   5.592062e+04   1.500557e+02          1     485001
      100    6.027216e+04   5.593223e+04   1.516301e+02          1     489900
      101    7.100951e+04   5.593245e+04   1.531513e+02          1     494799
      102    6.986854e+04   5.593693e+04   1.547149e+02          1     499698
      103    7.021402e+04   5.595497e+04   1.562761e+02          1     504597
