------------------------------------------------------------------------------
                      SDDP.jl (c) Oscar Dowson, 2017-21

Problem
  Nodes           : 60
  State variables : 4
  Scenarios       : 8.22275e+112
  Existing cuts   : false
  Subproblem structure                      : (min, max)
    Variables                               : (157, 157)
    VariableRef in MOI.LessThan{Float64}    : (144, 145)
    VariableRef in MOI.GreaterThan{Float64} : (149, 149)
    AffExpr in MOI.EqualTo{Float64}         : (9, 9)
Options
  Solver          : serial mode
  Risk measure    : SDDP.Expectation()
  Sampling scheme : SDDP.InSampleMonteCarlo

Numerical stability report
  Non-zero Matrix range     [1e+00, 1e+00]
  Non-zero Objective range  [1e-05, 2e+00]
  Non-zero Bounds range     [7e-01, 2e+05]
  Non-zero RHS range        [7e+03, 5e+04]
WARNING: numerical stability issues detected
  - Objective range contains small coefficients
Very large or small absolute values of coefficients
can cause numerical stability issues. Consider
reformulating the model.

 Iteration    Simulation       Bound         Time (s)    Proc. ID   # Solves
        1    4.851931e+04   1.757925e+04   1.447501e+00          1       4899
        2    4.464871e+04   2.756437e+04   2.806170e+00          1       9798
        3    4.894957e+04   2.814628e+04   4.250476e+00          1      14697
        4    4.235880e+04   2.819365e+04   5.668058e+00          1      19596
        5    4.225066e+04   3.184450e+04   7.057001e+00          1      24495
        6    4.347948e+04   3.184633e+04   8.494341e+00          1      29394
        7    3.703785e+04   3.195253e+04   9.881242e+00          1      34293
        8    3.992798e+04   3.196008e+04   1.130858e+01          1      39192
        9    4.038146e+04   3.496021e+04   1.274529e+01          1      44091
       10    3.796650e+04   3.497417e+04   1.414830e+01          1      48990
       11    4.039888e+04   3.514461e+04   1.559655e+01          1      53889
       12    3.542672e+04   3.544759e+04   1.705279e+01          1      58788
       13    4.075038e+04   3.570943e+04   1.848906e+01          1      63687
       14    3.927054e+04   3.578506e+04   1.995858e+01          1      68586
       15    3.481025e+04   3.583892e+04   2.142185e+01          1      73485
       16    3.823239e+04   3.592816e+04   2.283677e+01          1      78384
       17    3.488994e+04   3.603165e+04   2.429945e+01          1      83283
       18    4.162405e+04   3.619226e+04   2.573485e+01          1      88182
       19    4.033050e+04   3.621652e+04   2.718905e+01          1      93081
       20    3.945898e+04   3.622412e+04   2.863943e+01          1      97980
       21    3.847217e+04   3.626839e+04   3.006384e+01          1     102879
       22    3.814243e+04   3.632721e+04   3.152132e+01          1     107778
       23    4.622552e+04   3.646439e+04   3.295280e+01          1     112677
       24    4.282393e+04   3.647179e+04   3.442482e+01          1     117576
       25    3.771417e+04   3.649870e+04   3.589962e+01          1     122475
       26    3.878428e+04   3.649996e+04   3.734512e+01          1     127374
       27    3.849518e+04   3.650235e+04   3.882553e+01          1     132273
       28    4.042599e+04   3.650410e+04   4.030978e+01          1     137172
       29    3.955181e+04   3.671949e+04   4.174049e+01          1     142071
       30    3.877519e+04   3.675234e+04   4.322379e+01          1     146970
       31    4.023469e+04   3.686647e+04   4.466133e+01          1     151869
       32    3.410265e+04   3.688722e+04   4.613657e+01          1     156768
       33    4.005273e+04   3.694114e+04   4.762464e+01          1     161667
       34    3.606683e+04   3.694399e+04   4.906542e+01          1     166566
       35    3.981986e+04   3.694399e+04   5.055598e+01          1     171465
       36    3.335464e+04   3.701677e+04   5.200650e+01          1     176364
       37    3.727197e+04   3.701762e+04   5.349348e+01          1     181263
       38    3.975275e+04   3.705792e+04   5.498880e+01          1     186162
       39    3.515644e+04   3.705793e+04   5.644187e+01          1     191061
       40    4.168870e+04   3.705793e+04   5.794429e+01          1     195960
       41    4.067381e+04   3.714122e+04   5.943885e+01          1     200859
       42    3.841978e+04   3.714122e+04   6.089588e+01          1     205758
       43    3.582617e+04   3.714122e+04   6.238405e+01          1     210657
       44    3.689918e+04   3.714122e+04   6.386584e+01          1     215556
       45    3.820155e+04   3.715090e+04   6.534744e+01          1     220455
       46    3.944628e+04   3.715134e+04   6.684583e+01          1     225354
       47    3.826964e+04   3.715367e+04   6.830350e+01          1     230253
       48    3.453713e+04   3.715555e+04   6.980245e+01          1     235152
       49    3.495789e+04   3.715568e+04   7.126096e+01          1     240051
       50    4.075223e+04   3.717001e+04   7.276884e+01          1     244950
       51    4.136524e+04   3.717038e+04   7.428195e+01          1     249849
       52    3.866438e+04   3.717460e+04   7.576044e+01          1     254748
       53    4.018629e+04   3.717729e+04   7.727881e+01          1     259647
       54    4.051135e+04   3.717882e+04   7.878948e+01          1     264546
       55    3.963026e+04   3.725852e+04   8.030048e+01          1     269445
       56    4.097995e+04   3.725912e+04   8.181679e+01          1     274344
       57    3.886079e+04   3.725914e+04   8.329927e+01          1     279243
       58    3.829334e+04   3.726141e+04   8.481636e+01          1     284142
       59    3.854196e+04   3.726159e+04   8.630529e+01          1     289041
       60    3.752638e+04   3.726677e+04   8.781308e+01          1     293940
       61    3.374034e+04   3.726688e+04   8.935475e+01          1     298839
       62    3.616875e+04   3.726700e+04   9.084967e+01          1     303738
       63    3.857285e+04   3.726718e+04   9.238759e+01          1     308637
       64    3.745615e+04   3.727070e+04   9.390362e+01          1     313536
       65    3.900736e+04   3.727075e+04   9.542524e+01          1     318435

Terminating training
  Status         : bound_stalling
  Total time (s) : 9.542524e+01
  Total solves   : 318435
  Best bound     :  3.727075e+04
  Simulation CI  :  3.915560e+04 ± 7.505409e+02
------------------------------------------------------------------------------
