------------------------------------------------------------------------------
                      SDDP.jl (c) Oscar Dowson, 2017-21

Problem
  Nodes           : 60
  State variables : 4
  Scenarios       : 8.22275e+112
  Existing cuts   : false
  Subproblem structure                      : (min, max)
    Variables                               : (157, 157)
    VariableRef in MOI.LessThan{Float64}    : (144, 145)
    VariableRef in MOI.GreaterThan{Float64} : (149, 149)
    AffExpr in MOI.EqualTo{Float64}         : (9, 9)
Options
  Solver          : serial mode
  Risk measure    : SDDP.Expectation()
  Sampling scheme : SDDP.InSampleMonteCarlo

Numerical stability report
  Non-zero Matrix range     [1e+00, 1e+00]
  Non-zero Objective range  [1e-05, 1e+00]
  Non-zero Bounds range     [7e-01, 2e+05]
  Non-zero RHS range        [7e+03, 5e+04]
WARNING: numerical stability issues detected
  - Objective range contains small coefficients
Very large or small absolute values of coefficients
can cause numerical stability issues. Consider
reformulating the model.

 Iteration    Simulation       Bound         Time (s)    Proc. ID   # Solves
        1    9.556960e+04   2.018969e+03   1.474088e+00          1       4899
        2    6.503417e+04   3.838080e+04   2.856102e+00          1       9798
        3    9.432251e+04   3.849179e+04   4.290012e+00          1      14697
        4    7.734850e+04   3.928728e+04   5.678898e+00          1      19596
        5    6.450754e+04   3.950192e+04   7.096441e+00          1      24495
        6    6.095056e+04   3.974427e+04   8.484591e+00          1      29394
        7    7.391348e+04   4.789814e+04   9.918009e+00          1      34293
        8    6.714195e+04   4.792606e+04   1.130935e+01          1      39192
        9    5.021629e+04   4.856649e+04   1.276476e+01          1      44091
       10    6.841350e+04   4.876688e+04   1.421631e+01          1      48990
       11    6.184947e+04   5.144842e+04   1.561024e+01          1      53889
       12    6.143088e+04   5.146073e+04   1.705351e+01          1      58788
       13    6.885588e+04   5.210543e+04   1.845703e+01          1      63687
       14    6.473967e+04   5.237527e+04   1.990615e+01          1      68586
       15    7.659738e+04   5.247550e+04   2.132537e+01          1      73485
       16    6.518927e+04   5.477550e+04   2.278414e+01          1      78384
       17    6.992906e+04   5.492163e+04   2.420358e+01          1      83283
       18    6.201317e+04   5.505705e+04   2.565332e+01          1      88182
       19    7.484318e+04   5.507535e+04   2.707918e+01          1      93081
       20    7.784361e+04   5.562610e+04   2.852400e+01          1      97980
       21    8.879528e+04   5.562745e+04   2.995926e+01          1     102879
       22    5.864553e+04   5.563135e+04   3.141837e+01          1     107778
       23    6.454794e+04   5.585251e+04   3.289102e+01          1     112677
       24    6.179681e+04   5.590561e+04   3.433001e+01          1     117576
       25    6.098185e+04   5.615769e+04   3.579512e+01          1     122475
