------------------------------------------------------------------------------
                      SDDP.jl (c) Oscar Dowson, 2017-21

Problem
  Nodes           : 60
  State variables : 4
  Scenarios       : 8.22275e+112
  Existing cuts   : false
  Subproblem structure                      : (min, max)
    Variables                               : (157, 157)
    VariableRef in MOI.LessThan{Float64}    : (144, 145)
    VariableRef in MOI.GreaterThan{Float64} : (149, 149)
    AffExpr in MOI.EqualTo{Float64}         : (9, 9)
Options
  Solver          : serial mode
  Risk measure    : SDDP.Expectation()
  Sampling scheme : SDDP.InSampleMonteCarlo

Numerical stability report
  Non-zero Matrix range     [1e+00, 1e+00]
  Non-zero Objective range  [8e-06, 1e+00]
  Non-zero Bounds range     [7e-01, 2e+05]
  Non-zero RHS range        [7e+03, 5e+04]
WARNING: numerical stability issues detected
  - Objective range contains small coefficients
Very large or small absolute values of coefficients
can cause numerical stability issues. Consider
reformulating the model.

 Iteration    Simulation       Bound         Time (s)    Proc. ID   # Solves
        1    1.110056e+05   8.483084e+02   1.490819e+00          1       4899
        2    7.677786e+04   4.395796e+04   2.942693e+00          1       9798
        3    1.089457e+05   4.397363e+04   4.391077e+00          1      14697
        4    8.428455e+04   4.397363e+04   5.813245e+00          1      19596
        5    8.620804e+04   4.971342e+04   7.244818e+00          1      24495
        6    7.497624e+04   5.816465e+04   8.676814e+00          1      29394
        7    7.703591e+04   5.818165e+04   1.011243e+01          1      34293
        8    6.859919e+04   5.878898e+04   1.155397e+01          1      39192
        9    6.633046e+04   6.460187e+04   1.301140e+01          1      44091
       10    9.484097e+04   6.465712e+04   1.446793e+01          1      48990
       11    6.489457e+04   6.561819e+04   1.593801e+01          1      53889
       12    7.809495e+04   6.575810e+04   1.744215e+01          1      58788
       13    6.359833e+04   6.619928e+04   1.889422e+01          1      63687
       14    7.408682e+04   6.623447e+04   2.035719e+01          1      68586
       15    7.054991e+04   6.645494e+04   2.182419e+01          1      73485
       16    6.620087e+04   6.647300e+04   2.327533e+01          1      78384
       17    8.271743e+04   6.694331e+04   2.473419e+01          1      83283
       18    8.901567e+04   6.694499e+04   2.619404e+01          1      88182
       19    7.119110e+04   6.694499e+04   2.765426e+01          1      93081
       20    7.573007e+04   6.813478e+04   2.911591e+01          1      97980
       21    6.357121e+04   6.813754e+04   3.060560e+01          1     102879
       22    7.002173e+04   6.813754e+04   3.210159e+01          1     107778
       23    8.337973e+04   6.849911e+04   3.359714e+01          1     112677
       24    9.541058e+04   6.905355e+04   3.506589e+01          1     117576
       25    7.953870e+04   6.917353e+04   3.654124e+01          1     122475
       26    7.421129e+04   6.925938e+04   3.801315e+01          1     127374
       27    8.533912e+04   6.930473e+04   3.948938e+01          1     132273
       28    5.649934e+04   6.937244e+04   4.094677e+01          1     137172
       29    7.780595e+04   6.937260e+04   4.242194e+01          1     142071
       30    7.619699e+04   6.964037e+04   4.391133e+01          1     146970
       31    7.485485e+04   7.004673e+04   4.540016e+01          1     151869
       32    6.873846e+04   7.007917e+04   4.689770e+01          1     156768
       33    7.165427e+04   7.009500e+04   4.839302e+01          1     161667
       34    6.748112e+04   7.041825e+04   4.987649e+01          1     166566
       35    8.461133e+04   7.059352e+04   5.137052e+01          1     171465
       36    7.692141e+04   7.059451e+04   5.289240e+01          1     176364
       37    8.196555e+04   7.065868e+04   5.439146e+01          1     181263
       38    6.633308e+04   7.065921e+04   5.588314e+01          1     186162
       39    8.511942e+04   7.067689e+04   5.738565e+01          1     191061
       40    8.376722e+04   7.068470e+04   5.887670e+01          1     195960
       41    8.012656e+04   7.068718e+04   6.036090e+01          1     200859
       42    6.322024e+04   7.069206e+04   6.185144e+01          1     205758
