------------------------------------------------------------------------------
                      SDDP.jl (c) Oscar Dowson, 2017-21

Problem
  Nodes           : 60
  State variables : 4
  Scenarios       : 8.22275e+112
  Existing cuts   : true
  Subproblem structure                      : (min, max)
    Variables                               : (158, 158)
    VariableRef in MOI.EqualTo{Float64}     : (8, 8)
    VariableRef in MOI.LessThan{Float64}    : (145, 146)
    AffExpr in MOI.GreaterThan{Float64}     : (6, 118)
    AffExpr in MOI.EqualTo{Float64}         : (9, 11)
    VariableRef in MOI.GreaterThan{Float64} : (150, 150)
Options
  Solver          : serial mode
  Risk measure    : SDDP.Expectation()
  Sampling scheme : SDDP.InSampleMonteCarlo

 Iteration    Simulation       Bound         Time (s)    Proc. ID   # Solves
        1    7.824492e+04   3.638246e+04   1.594921e+00          1     573187
        2    8.731804e+04   3.644723e+04   3.222783e+00          1     578086
        3    4.568094e+04   3.644898e+04   4.808255e+00          1     582985
        4    6.724402e+04   4.257233e+04   6.386649e+00          1     587884
        5    6.514032e+04   4.368582e+04   7.961217e+00          1     592783
        6    8.629345e+04   4.374858e+04   9.550387e+00          1     597682
        7    5.591527e+04   4.678011e+04   1.115597e+01          1     602581
        8    7.405677e+04   4.721346e+04   1.275251e+01          1     607480
        9    7.794441e+04   4.732928e+04   1.435212e+01          1     612379
       10    4.545937e+04   4.734253e+04   1.594003e+01          1     617278
       11    4.881826e+04   4.766697e+04   1.754253e+01          1     622177
       12    7.189719e+04   4.908039e+04   1.915296e+01          1     627076
       13    8.090901e+04   4.983429e+04   2.075686e+01          1     631975
       14    5.986321e+04   5.035081e+04   2.236381e+01          1     636874
       15    5.124500e+04   5.035445e+04   2.397503e+01          1     641773
       16    4.706980e+04   5.127245e+04   2.560523e+01          1     646672
       17    7.213065e+04   5.131979e+04   2.723223e+01          1     651571
       18    9.484418e+04   5.132008e+04   2.884926e+01          1     656470
       19    6.752400e+04   5.132456e+04   3.045887e+01          1     661369
       20    4.578767e+04   5.132851e+04   3.206131e+01          1     666268
       21    6.255337e+04   5.137616e+04   3.367397e+01          1     671167
       22    5.816873e+04   5.138320e+04   3.528500e+01          1     676066
       23    6.922081e+04   5.138326e+04   3.692354e+01          1     680965
       24    7.119599e+04   5.354868e+04   3.852654e+01          1     685864
       25    6.645450e+04   5.355662e+04   4.014184e+01          1     690763
       26    5.547844e+04   5.357572e+04   4.175889e+01          1     695662
       27    5.653467e+04   5.358718e+04   4.339071e+01          1     700561
       28    7.344359e+04   5.359703e+04   4.501398e+01          1     705460
       29    5.747193e+04   5.360543e+04   4.668868e+01          1     710359
       30    5.591191e+04   5.361088e+04   4.829893e+01          1     715258
       31    4.226454e+04   5.361105e+04   4.993063e+01          1     720157
       32    1.010828e+05   5.365930e+04   5.156847e+01          1     725056
       33    7.262989e+04   5.366007e+04   5.321256e+01          1     729955
       34    7.204690e+04   5.382437e+04   5.484359e+01          1     734854
       35    5.021979e+04   5.382893e+04   5.649795e+01          1     739753
       36    6.183008e+04   5.382915e+04   5.811443e+01          1     744652
       37    7.640918e+04   5.389067e+04   5.975391e+01          1     749551
       38    4.266277e+04   5.439737e+04   6.138677e+01          1     754450
       39    9.343399e+04   5.440287e+04   6.302990e+01          1     759349
       40    7.119026e+04   5.441458e+04   6.465199e+01          1     764248
       41    6.273452e+04   5.442079e+04   6.631335e+01          1     769147
       42    5.582586e+04   5.472206e+04   6.792090e+01          1     774046
       43    4.895883e+04   5.472661e+04   6.957104e+01          1     778945
       44    6.758343e+04   5.474198e+04   7.120096e+01          1     783844
       45    6.412336e+04   5.486157e+04   7.283890e+01          1     788743
       46    5.589172e+04   5.523143e+04   7.449727e+01          1     793642
       47    6.812157e+04   5.531598e+04   7.618572e+01          1     798541
       48    5.902622e+04   5.532545e+04   7.785862e+01          1     803440
       49    5.415773e+04   5.533922e+04   7.952201e+01          1     808339
       50    4.521674e+04   5.533933e+04   8.117576e+01          1     813238
       51    9.086127e+04   5.534383e+04   8.283356e+01          1     818137
       52    5.576882e+04   5.534813e+04   8.450213e+01          1     823036
       53    6.343822e+04   5.535310e+04   8.616670e+01          1     827935
       54    4.658129e+04   5.560540e+04   8.784252e+01          1     832834
       55    4.078792e+04   5.562443e+04   8.949852e+01          1     837733
       56    6.474668e+04   5.564837e+04   9.115512e+01          1     842632
       57    5.405126e+04   5.564923e+04   9.281024e+01          1     847531
       58    4.597359e+04   5.566137e+04   9.445325e+01          1     852430
       59    4.661540e+04   5.566336e+04   9.611628e+01          1     857329
       60    5.096484e+04   5.567055e+04   9.776684e+01          1     862228
       61    4.788983e+04   5.567724e+04   9.944188e+01          1     867127
       62    7.567776e+04   5.579197e+04   1.010926e+02          1     872026
       63    7.626216e+04   5.582754e+04   1.027522e+02          1     876925
       64    6.485032e+04   5.583955e+04   1.044270e+02          1     881824
       65    3.975296e+04   5.584012e+04   1.060826e+02          1     886723
       66    4.753880e+04   5.584103e+04   1.077662e+02          1     891622
       67    4.251425e+04   5.584996e+04   1.094186e+02          1     896521
       68    4.773531e+04   5.587116e+04   1.111096e+02          1     901420
       69    5.174659e+04   5.587679e+04   1.128025e+02          1     906319
       70    4.797027e+04   5.587679e+04   1.144886e+02          1     911218
       71    1.004076e+05   5.587684e+04   1.161496e+02          1     916117
       72    4.158921e+04   5.588359e+04   1.178391e+02          1     921016
       73    7.596913e+04   5.590628e+04   1.195076e+02          1     925915
       74    9.393917e+04   5.590630e+04   1.211773e+02          1     930814
       75    5.392432e+04   5.591389e+04   1.228769e+02          1     935713
       76    7.232222e+04   5.593038e+04   1.245777e+02          1     940612
       77    5.613052e+04   5.593332e+04   1.262762e+02          1     945511
       78    4.043402e+04   5.593362e+04   1.279843e+02          1     950410
       79    4.271220e+04   5.593833e+04   1.296547e+02          1     955309
       80    5.275206e+04   5.593948e+04   1.313372e+02          1     960208
       81    7.651752e+04   5.595933e+04   1.330106e+02          1     965107
       82    6.085232e+04   5.601242e+04   1.347157e+02          1     970006
       83    6.025507e+04   5.601256e+04   1.364075e+02          1     974905
       84    6.307315e+04   5.601268e+04   1.381318e+02          1     979804
       85    4.698516e+04   5.601551e+04   1.398241e+02          1     984703
       86    5.725706e+04   5.601983e+04   1.415187e+02          1     989602
       87    7.604656e+04   5.601987e+04   1.432005e+02          1     994501
       88    5.765442e+04   5.602038e+04   1.448900e+02          1     999400
       89    4.638951e+04   5.602358e+04   1.465678e+02          1    1004299
       90    5.194059e+04   5.613820e+04   1.482520e+02          1    1009198
       91    4.246127e+04   5.613822e+04   1.499345e+02          1    1014097
       92    4.744348e+04   5.613823e+04   1.516243e+02          1    1018996
       93    6.233969e+04   5.615755e+04   1.533529e+02          1    1023895
       94    5.577789e+04   5.617431e+04   1.550159e+02          1    1028794
       95    6.402034e+04   5.617558e+04   1.566826e+02          1    1033693
       96    5.758292e+04   5.618287e+04   1.583731e+02          1    1038592

Terminating training
  Status         : bound_limit
  Total time (s) : 1.583731e+02
  Total solves   : 1038592
  Best bound     :  5.618287e+04
  Simulation CI  :  6.118474e+04 ± 2.922141e+03
------------------------------------------------------------------------------
