------------------------------------------------------------------------------
                      SDDP.jl (c) Oscar Dowson, 2017-21

Problem
  Nodes           : 60
  State variables : 4
  Scenarios       : 8.22275e+112
  Existing cuts   : false
  Subproblem structure                      : (min, max)
    Variables                               : (157, 157)
    VariableRef in MOI.LessThan{Float64}    : (144, 145)
    VariableRef in MOI.GreaterThan{Float64} : (149, 149)
    AffExpr in MOI.EqualTo{Float64}         : (9, 9)
Options
  Solver          : serial mode
  Risk measure    : SDDP.Expectation()
  Sampling scheme : SDDP.InSampleMonteCarlo

Numerical stability report
  Non-zero Matrix range     [1e+00, 1e+00]
  Non-zero Objective range  [6e-06, 1e+00]
  Non-zero Bounds range     [7e-01, 2e+05]
  Non-zero RHS range        [7e+03, 5e+04]
WARNING: numerical stability issues detected
  - Objective range contains small coefficients
Very large or small absolute values of coefficients
can cause numerical stability issues. Consider
reformulating the model.

 Iteration    Simulation       Bound         Time (s)    Proc. ID   # Solves
        1    1.400544e+05   5.618194e+02   1.491355e+00          1       4899
        2    9.841825e+04   3.998626e+04   2.934920e+00          1       9798
        3    9.527334e+04   4.006334e+04   4.353208e+00          1      14697
        4    7.567346e+04   4.629095e+04   5.793088e+00          1      19596
        5    9.409024e+04   4.634335e+04   7.209292e+00          1      24495
        6    8.950982e+04   6.249220e+04   8.672772e+00          1      29394
        7    9.236177e+04   6.249680e+04   1.009556e+01          1      34293
        8    7.695446e+04   6.250061e+04   1.157772e+01          1      39192
        9    6.923450e+04   6.249680e+04   1.301692e+01          1      44091
       10    7.285797e+04   6.249680e+04   1.449443e+01          1      48990
       11    8.298202e+04   6.250373e+04   1.592099e+01          1      53889
       12    8.997541e+04   6.252533e+04   1.738913e+01          1      58788
       13    7.842090e+04   6.343637e+04   1.880953e+01          1      63687
       14    7.415511e+04   6.361249e+04   2.025628e+01          1      68586
       15    6.197213e+04   6.607792e+04   2.171903e+01          1      73485
       16    9.118698e+04   6.692725e+04   2.315010e+01          1      78384
       17    9.035256e+04   6.723423e+04   2.463803e+01          1      83283
       18    7.619814e+04   6.728796e+04   2.605817e+01          1      88182
       19    8.099703e+04   6.859935e+04   2.752312e+01          1      93081
       20    1.014171e+05   6.860342e+04   2.896124e+01          1      97980
       21    8.580477e+04   7.150385e+04   3.045018e+01          1     102879
       22    8.329273e+04   7.151622e+04   3.192908e+01          1     107778
       23    8.097846e+04   7.151622e+04   3.339867e+01          1     112677
       24    7.105931e+04   7.202592e+04   3.490247e+01          1     117576
       25    1.042197e+05   7.203023e+04   3.636966e+01          1     122475
       26    7.834542e+04   7.203803e+04   3.787420e+01          1     127374
       27    8.877376e+04   7.204113e+04   3.932794e+01          1     132273
       28    8.059700e+04   7.205859e+04   4.083220e+01          1     137172
