------------------------------------------------------------------------------
                      SDDP.jl (c) Oscar Dowson, 2017-21

Problem
  Nodes           : 60
  State variables : 4
  Scenarios       : 8.22275e+112
  Existing cuts   : false
  Subproblem structure                      : (min, max)
    Variables                               : (157, 157)
    VariableRef in MOI.LessThan{Float64}    : (144, 145)
    VariableRef in MOI.GreaterThan{Float64} : (149, 149)
    AffExpr in MOI.EqualTo{Float64}         : (9, 9)
Options
  Solver          : serial mode
  Risk measure    : SDDP.Expectation()
  Sampling scheme : SDDP.InSampleMonteCarlo

Numerical stability report
  Non-zero Matrix range     [1e+00, 1e+00]
  Non-zero Objective range  [2e-06, 1e+00]
  Non-zero Bounds range     [7e-01, 2e+05]
  Non-zero RHS range        [7e+03, 5e+04]
WARNING: numerical stability issues detected
  - Objective range contains small coefficients
Very large or small absolute values of coefficients
can cause numerical stability issues. Consider
reformulating the model.

 Iteration    Simulation       Bound         Time (s)    Proc. ID   # Solves
        1    1.015143e+05   1.985875e+02   1.539882e+00          1       4899
        2    8.363292e+04   4.846841e+02   2.950603e+00          1       9798
        3    5.636876e+04   9.976694e+02   4.374320e+00          1      14697
        4    3.891679e+04   2.603201e+03   5.837476e+00          1      19596
        5    5.146915e+04   7.834497e+03   7.254941e+00          1      24495
        6    4.612663e+04   8.928892e+03   8.679573e+00          1      29394
        7    3.007092e+04   1.173735e+04   1.013616e+01          1      34293
        8    2.171037e+04   1.623264e+04   1.157659e+01          1      39192
        9    4.195154e+04   1.624451e+04   1.307019e+01          1      44091
       10    4.080324e+04   1.644847e+04   1.450723e+01          1      48990
       11    2.453270e+04   2.083189e+04   1.592636e+01          1      53889
       12    6.226480e+04   2.092897e+04   1.741698e+01          1      58788
       13    3.060664e+04   2.093375e+04   1.886598e+01          1      63687
       14    3.254501e+04   2.093692e+04   2.031236e+01          1      68586
       15    2.451189e+04   2.153305e+04   2.178207e+01          1      73485
       16    3.954048e+04   2.153867e+04   2.321817e+01          1      78384
       17    3.884688e+04   2.185631e+04   2.466487e+01          1      83283
       18    3.327962e+04   2.189692e+04   2.614423e+01          1      88182
       19    2.963245e+04   2.189723e+04   2.758450e+01          1      93081
       20    3.318341e+04   2.252547e+04   2.903533e+01          1      97980
       21    2.722894e+04   2.253530e+04   3.050382e+01          1     102879
       22    4.207953e+04   2.468141e+04   3.196165e+01          1     107778
       23    3.849806e+04   2.480851e+04   3.346276e+01          1     112677
       24    4.287956e+04   2.480900e+04   3.492319e+01          1     117576
       25    3.999822e+04   2.481441e+04   3.641620e+01          1     122475
       26    3.284523e+04   2.481559e+04   3.792587e+01          1     127374
       27    3.831180e+04   2.481596e+04   3.939463e+01          1     132273
       28    4.057756e+04   2.481603e+04   4.087153e+01          1     137172
       29    4.951621e+04   2.481757e+04   4.237779e+01          1     142071
       30    4.230033e+04   2.481877e+04   4.384735e+01          1     146970
       31    3.397482e+04   2.481921e+04   4.532941e+01          1     151869
       32    1.936106e+04   2.488216e+04   4.683634e+01          1     156768
       33    2.895187e+04   2.501929e+04   4.832673e+01          1     161667
       34    3.679191e+04   2.535996e+04   4.984822e+01          1     166566
       35    6.099296e+04   2.536847e+04   5.132241e+01          1     171465
       36    3.721200e+04   2.537544e+04   5.281304e+01          1     176364
       37    5.049709e+04   2.538537e+04   5.434132e+01          1     181263
       38    2.533943e+04   2.583428e+04   5.580123e+01          1     186162
       39    3.196114e+04   2.584293e+04   5.727486e+01          1     191061
       40    3.257137e+04   2.585050e+04   5.880100e+01          1     195960
       41    2.843560e+04   2.585172e+04   6.026492e+01          1     200859
       42    3.289478e+04   2.613318e+04   6.174910e+01          1     205758
       43    2.567273e+04   2.624492e+04   6.326010e+01          1     210657
       44    2.129753e+04   2.625808e+04   6.472896e+01          1     215556
       45    4.169570e+04   2.636331e+04   6.620577e+01          1     220455
       46    2.288590e+04   2.637109e+04   6.774064e+01          1     225354
       47    4.460645e+04   2.637168e+04   6.922038e+01          1     230253
       48    2.406584e+04   2.638779e+04   7.071312e+01          1     235152
       49    2.298814e+04   2.647366e+04   7.223643e+01          1     240051
       50    3.073685e+04   2.649544e+04   7.372132e+01          1     244950
       51    2.733891e+04   2.664972e+04   7.524701e+01          1     249849
       52    3.118560e+04   2.666727e+04   7.672216e+01          1     254748
       53    2.689223e+04   2.667272e+04   7.820846e+01          1     259647
       54    3.156862e+04   2.681072e+04   7.974321e+01          1     264546
       55    2.266240e+04   2.682483e+04   8.122577e+01          1     269445
       56    2.796081e+04   2.684871e+04   8.271635e+01          1     274344
       57    3.071347e+04   2.688331e+04   8.424155e+01          1     279243
       58    3.705634e+04   2.699842e+04   8.572379e+01          1     284142
       59    3.063437e+04   2.706678e+04   8.719273e+01          1     289041
       60    2.829699e+04   2.725644e+04   8.870916e+01          1     293940
       61    4.658802e+04   2.726951e+04   9.020073e+01          1     298839
       62    3.123867e+04   2.728094e+04   9.168089e+01          1     303738
       63    3.173167e+04   2.728201e+04   9.371309e+01          1     308637
       64    3.198281e+04   2.728342e+04   9.527476e+01          1     313536
       65    3.439077e+04   2.728370e+04   9.680435e+01          1     318435
       66    2.620177e+04   2.728947e+04   9.830357e+01          1     323334
       67    2.949324e+04   2.730164e+04   9.981271e+01          1     328233
       68    2.406241e+04   2.739479e+04   1.013131e+02          1     333132
       69    4.655245e+04   2.741095e+04   1.028379e+02          1     338031
       70    2.243409e+04   2.742403e+04   1.043592e+02          1     342930
       71    3.527348e+04   2.743106e+04   1.058863e+02          1     347829
       72    3.142857e+04   2.755379e+04   1.074117e+02          1     352728
       73    2.698872e+04   2.755766e+04   1.089389e+02          1     357627
       74    4.029608e+04   2.755848e+04   1.104581e+02          1     362526
       75    3.022539e+04   2.756999e+04   1.119924e+02          1     367425
       76    2.208675e+04   2.757469e+04   1.134930e+02          1     372324
       77    4.711903e+04   2.761651e+04   1.150327e+02          1     377223
       78    2.681652e+04   2.775994e+04   1.165347e+02          1     382122
       79    2.583997e+04   2.775996e+04   1.180321e+02          1     387021
       80    2.494765e+04   2.775998e+04   1.195657e+02          1     391920
       81    2.660657e+04   2.776001e+04   1.210818e+02          1     396819
       82    2.881368e+04   2.776963e+04   1.226043e+02          1     401718
       83    3.027273e+04   2.778270e+04   1.241443e+02          1     406617
       84    3.483867e+04   2.778579e+04   1.256830e+02          1     411516
       85    2.431929e+04   2.778596e+04   1.272086e+02          1     416415
       86    3.854424e+04   2.778600e+04   1.287407e+02          1     421314
       87    2.906901e+04   2.778603e+04   1.302853e+02          1     426213
       88    3.131750e+04   2.779045e+04   1.318437e+02          1     431112
       89    3.559707e+04   2.779100e+04   1.333854e+02          1     436011
       90    2.220507e+04   2.779101e+04   1.349188e+02          1     440910
       91    3.881997e+04   2.779137e+04   1.364639e+02          1     445809
       92    2.573867e+04   2.779586e+04   1.379940e+02          1     450708
       93    3.064226e+04   2.779824e+04   1.395294e+02          1     455607

Terminating training
  Status         : bound_stalling
  Total time (s) : 1.395294e+02
  Total solves   : 455607
  Best bound     :  2.779824e+04
  Simulation CI  :  3.479000e+04 ± 2.518509e+03
------------------------------------------------------------------------------
